NU_ANO_CENSO;CO_IES;CO_CURSO;NO_IES;NO_CURSO;CO_MUNICIPIO;NO_MUNICIPIO;REGRA;EVIDENCIA;IMPACTO;STATUS
2022;1388;1496478;CENTRO UNIVERSITÁRIO SUMARÉ;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"6 municipios; 1 zerados; 0 valores ausentes; total 111.0; maior 107.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2022;1422;1510916;CENTRO UNIVERSITÁRIO DO NORTE;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"14 municipios; 5 zerados; 0 valores ausentes; total 239.0; maior 230.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2022;1557;1266540;UNIVERSIDADE FUMEC;Sistemas De Informação;;;ead_concentracao_100_mais;"5 municipios; 1 zerados; 0 valores ausentes; total 234.0; maior 215.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2022;15859;1439413;Faculdade Católica Paulista;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"14 municipios; 3 zerados; 0 valores ausentes; total 319.0; maior 297.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2022;1805;1546429;CENTRO UNIVERSITÁRIO DOS GUARARAPES;Ciência Da Computação;;;ead_concentracao_100_mais;"9 municipios; 4 zerados; 0 valores ausentes; total 135.0; maior 123.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2022;387;1550198;UNIVERSIDADE CATÓLICA DOM BOSCO;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"12 municipios; 5 zerados; 0 valores ausentes; total 100.0; maior 93.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2022;712;1442970;CENTRO UNIVERSITÁRIO IBMR;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"14 municipios; 8 zerados; 0 valores ausentes; total 521.0; maior 501.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2022;712;1501453;CENTRO UNIVERSITÁRIO IBMR;Gestão Da Tecnologia Da Informação;;;ead_concentracao_100_mais;"5 municipios; 2 zerados; 0 valores ausentes; total 171.0; maior 167.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2022;712;1545421;CENTRO UNIVERSITÁRIO IBMR;Ciência Da Computação;;;ead_concentracao_100_mais;"10 municipios; 5 zerados; 0 valores ausentes; total 268.0; maior 252.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2022;712;1545602;CENTRO UNIVERSITÁRIO IBMR;Sistemas De Informação;;;ead_concentracao_100_mais;"7 municipios; 4 zerados; 0 valores ausentes; total 111.0; maior 108.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
